,Name,Keywords (10),Top Keywords List,Top Keywords
0,207다이닝,"파스타, 음식, 아이스크림, 스테이크, 메뉴, 생일, 분위기, 요리, 좋은, 트러플","['특별한 날', '분위기 좋은']","특별한 날, 분위기 좋은"
1,37.5 시그니처 성수점,"분위기, 브런치, 음식, 직원, 맛집, 성수, 좋았어요, 파스타, 좋고, 좋아요","['친절한', '음식이 맛있는', '분위기 좋은']","친절한, 음식이 맛있는, 분위기 좋은"
2,Bar Postscript 바피에스,"와인, 분위기, 음식, 코스, 생일, 서비스, 메뉴, 요리, 가격, 맛있고","['서비스 좋은', '특별한 날', '분위기 좋은', '주류', '음식이 맛있는']","서비스 좋은, 특별한 날, 분위기 좋은, 주류, 음식이 맛있는"
3,ERN 이알앤,"파스타, 메뉴, 음식, 분위기, 소스, 뇨끼, 라자냐, 맛있고, 좋고, 맛있어서","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
4,PEEPS (핍스),"파스타, 생면, 음식, 메뉴, 화이트, 뇨끼, 맛있게, 좋은, 분위기, 기분","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
5,Pimfy 성수,"음식, 메뉴, 분위기, 파스타, 맛있어요, 스테이크, 성수, 좋고, 좋은, 도리","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
6,TOOG 투그,"음식, 메뉴, 핫도그, 와인, 주문, 파스타, 맛있었어요, 소스, 로우, 분위기","['주류', '음식이 맛있는', '분위기 좋은']","주류, 음식이 맛있는, 분위기 좋은"
7,TWG Tea 성수낙낙점,"분위기, 좋고, 기분, 시간, 디저트, 예약, 음식, 좋은, 맛있어요, 좋아요","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
8,Tinto,"와인, 음식, 메뉴, 비프, 웰링턴, 감자, 버터, 가격, 맛있게, 소스","['주류', '음식이 맛있는']","주류, 음식이 맛있는"
9,Wip seongsu (윕 성수),"분위기, 메뉴, 와인, 음식, 좋았어요, 스테이크, 파스타, 뇨끼, 연말, 맛있고","['주류', '음식이 맛있는', '분위기 좋은', '특별한 날']","주류, 음식이 맛있는, 분위기 좋은, 특별한 날"
10,dooop,"분위기, 음식, 와인, 좋은, 기분, 좋았어요, 맛있었어요, 메뉴, 서비스, 좋고","['서비스 좋은', '주류', '음식이 맛있는', '분위기 좋은']","서비스 좋은, 주류, 음식이 맛있는, 분위기 좋은"
11,oiljang,"와인, 음식, 메뉴, 추천, 리스트, 맛있게, 맛집, 소스, 오일장, 주문","['주류', '음식이 맛있는', '추천하는']","주류, 음식이 맛있는, 추천하는"
12,가나초콜릿하우스,"디저트, 초콜릿, 가나, 음료, 초코, 예약, 팝업, 좋았어요, 메뉴, 사진",[],
13,갈비집 본,"고기, 분위기, 갈비, 서비스, 식사, 찌개, 맛있게, 맛있고, 목살, 건대","['서비스 좋은', '음식이 맛있는', '분위기 좋은']","서비스 좋은, 음식이 맛있는, 분위기 좋은"
14,감도 성수점,"아이스크림, 디저트, 예약, 가격, 레터, 맛있어요, 바질, 분위기, 서비스, 조약돌","['서비스 좋은', '음식이 맛있는', '분위기 좋은']","서비스 좋은, 음식이 맛있는, 분위기 좋은"
15,강별 성수,"음식, 서비스, 레터, 생일, 기념일, 식사, 코스, 분위기, 메뉴, 예약","['서비스 좋은', '특별한 날', '분위기 좋은']","서비스 좋은, 특별한 날, 분위기 좋은"
16,경주이씨,"메뉴, 음식, 안주, 가격, 분위기, 맛있고, 최고, 좋은, 주문, 맛집","['음식이 맛있는', '분위기 좋은', '추천하는']","음식이 맛있는, 분위기 좋은, 추천하는"
17,고래소년 (오마카세),"스시, 마카, 예약, 분위기, 음식, 친절하시고, 가격, 좋았습니다, 맛있게, 셰프","['친절한', '음식이 맛있는', '분위기 좋은']","친절한, 음식이 맛있는, 분위기 좋은"
18,고로고로 성수,"오차즈케, 음식, 장어, 로고, 맛있었어요, 요청, 테이블, 해산물, 도미, 분위기","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
19,곡성 성수,"예약, 분위기, 와인, 테이블, 꽃다발, 성수, 추천, 좋은, 파스타, 음식","['주류', '분위기 좋은', '추천하는']","주류, 분위기 좋은, 추천하는"
20,곤스 gon`s,"분위기, 하이, 음식, 맛집, 안주, 좋아요, 곤스, 구이, 데이트, 미소","['음식이 맛있는', '분위기 좋은', '데이트/연인과 함께']","음식이 맛있는, 분위기 좋은, 데이트/연인과 함께"
21,골든센트리,"음식, 분위기, 메뉴, 좋은, 요리, 중식, 코스, 어향가, 소스, 좋고",['분위기 좋은'],분위기 좋은
22,굿갓 레스토랑 성수역점,"루프, 분위기, 음식, 스테이크, 파스타, 와인, 좋고, 맛집, 직원, 친절하시고","['친절한', '주류', '음식이 맛있는', '분위기 좋은']","친절한, 주류, 음식이 맛있는, 분위기 좋은"
23,그리노 성수,"뇨끼, 파스타, 스테이크, 메뉴, 음식, 직원, 가지, 바나나, 시금치, 맛있었어요","['친절한', '음식이 맛있는']","친절한, 음식이 맛있는"
24,금남방,"와인, 음식, 분위기, 최고, 추천, 한식, 금호동, 고추, 맛있고, 음악","['주류', '음식이 맛있는', '분위기 좋은', '추천하는']","주류, 음식이 맛있는, 분위기 좋은, 추천하는"
25,금남정,"음식, 분위기, 좋아요, 갈치, 전통주, 추천, 파스타, 다양한, 맛있어요, 안주","['주류', '음식이 맛있는', '분위기 좋은', '추천하는']","주류, 음식이 맛있는, 분위기 좋은, 추천하는"
26,금호 온,"파스타, 분위기, 음식, 좋은, 메뉴, 금호동, 와인, 좋고, 데이트, 디저트","['주류', '분위기 좋은', '데이트/연인과 함께']","주류, 분위기 좋은, 데이트/연인과 함께"
27,기러기둥지 성수 ‘The Atelier',"분위기, 음식, 와인, 좋고, 직원, 뇨끼, 좋았어요, 크림, 맛있었어요, 시간","['친절한', '주류', '음식이 맛있는', '분위기 좋은']","친절한, 주류, 음식이 맛있는, 분위기 좋은"
28,기후,"음식, 분위기, 마카, 식사, 메뉴, 서비스, 구성, 데이트, 기분, 좋았어요","['서비스 좋은', '분위기 좋은', '데이트/연인과 함께']","서비스 좋은, 분위기 좋은, 데이트/연인과 함께"
29,까까를로,"뇨끼, 메뉴, 분위기, 음식, 파스타, 맛있게, 예약, 맛있어서, 맛있었어요, 맛집","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
30,네기 라이브,"예약, 좋은, 서비스, 요리, 직원, 식사, 추천, 경험, 구성, 대게","['친절한', '서비스 좋은', '추천하는']","친절한, 서비스 좋은, 추천하는"
31,뇨끼룸 ,"뇨끼, 음식, 파스타, 분위기, 메뉴, 데이트, 생면, 소스, 좋은, 홍합","['분위기 좋은', '데이트/연인과 함께']","분위기 좋은, 데이트/연인과 함께"
32,뉴웨이브서울,"분위기, 음식, 파스타, 들기름, 맛있고, 피자, 건대, 좋은, 직원, 뇨끼","['친절한', '음식이 맛있는', '분위기 좋은']","친절한, 음식이 맛있는, 분위기 좋은"
33,다로베,"피자, 로베, 화덕, 파스타, 메뉴, 청담, 주문, 맛있는, 셰프, 역시",['음식이 맛있는'],음식이 맛있는
34,다반,"음식, 메뉴, 다반, 한식, 직원, 구성, 반상, 추천, 감태, 김밥","['친절한', '추천하는']","친절한, 추천하는"
35,다원식당,"와인, 메뉴, 음식, 파스타, 새우, 맛있는, 맛있어요, 맛있고, 분위기, 좋아요","['주류', '음식이 맛있는', '분위기 좋은']","주류, 음식이 맛있는, 분위기 좋은"
36,다이닝 목로 성수점,"분위기, 메뉴, 음식, 안주, 친구, 여기, 좋고, 튀김, 가지, 맛있고","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
37,더블해피니스,"맛있어요, 분위기, 음식, 메뉴, 추천, 마라샹궈, 성수, 좋은, 친구, 국수","['음식이 맛있는', '분위기 좋은', '추천하는']","음식이 맛있는, 분위기 좋은, 추천하는"
38,더즌파스타바,"파스타, 이스터, 분위기, 음식, 뇨끼, 좋은, 맛있었어요, 기분, 메뉴, 느낌","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
39,데이릿,"육회, 묵은지, 메뉴, 음식, 마키, 맛있었어요, 크림, 맛있어서, 잠봉, 족발",['음식이 맛있는'],음식이 맛있는
40,도르리,"분위기, 안주, 음식, 추천, 맛있고, 예약, 친구, 시간, 전통주, 좋고","['주류', '음식이 맛있는', '분위기 좋은', '추천하는']","주류, 음식이 맛있는, 분위기 좋은, 추천하는"
41,도우 소사이어티,"피자, 와인, 도우, 파스타, 분위기, 메뉴, 맛있어요, 좋고, 음식, 맛있게","['주류', '음식이 맛있는', '분위기 좋은']","주류, 음식이 맛있는, 분위기 좋은"
42,드로잉레시피,"피자, 파스타, 음식, 맛집, 맛있었어요, 직원, 좋았습니다, 메뉴, 주문, 치즈","['친절한', '음식이 맛있는']","친절한, 음식이 맛있는"
43,디도재즈라운지,"공연, 음식, 재즈, 분위기, 좋은, 와인, 좋고, 좋았어요, 맛있고, 무대","['주류', '음식이 맛있는', '분위기 좋은']","주류, 음식이 맛있는, 분위기 좋은"
44,디핀 옥수,"파스타, 음식, 버터, 트러플, 아이스크림, 메뉴, 사워도, 추천, 맛있고, 사진","['음식이 맛있는', '추천하는']","음식이 맛있는, 추천하는"
45,뚜쿠소무야,"메뉴, 음식, 좋은, 분위기, 금태, 맛있었어요, 오뎅, 느낌, 다른, 맛있어요","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
46,뚝 다이닝,"안주, 음식, 맛집, 메뉴, 전통주, 피순대, 성수, 전골, 구이, 막창","['주류', '음식이 맛있는']","주류, 음식이 맛있는"
47,뚝방길 홍차가게,"세트, 스콘, 디저트, 분위기, 애프터눈티, 예약, 좋았어요, 좋은, 홍차, 메뉴",['분위기 좋은'],분위기 좋은
48,레타주,"음식, 와인, 메뉴, 분위기, 추천, 레타주, 버터, 서비스, 좋은, 맛있어요","['서비스 좋은', '추천하는', '분위기 좋은', '주류', '음식이 맛있는']","서비스 좋은, 추천하는, 분위기 좋은, 주류, 음식이 맛있는"
49,로컬릿,"비건, 메뉴, 음식, 느낌, 맛있어요, 맛있게, 맛있고, 재료, 직원, 맛있었어요","['친절한', '음식이 맛있는', '분위기 좋은']","친절한, 음식이 맛있는, 분위기 좋은"
50,루덴 성수,"음식, 뇨끼, 셰프, 스프, 메뉴, 바게트, 사진, 프랑스, 와인, 맛있게","['주류', '음식이 맛있는']","주류, 음식이 맛있는"
51,루루피피글루글루,"와인, 음식, 추천, 분위기, 좋고, 타르, 메뉴, 맛있었어요, 친구, 루피","['주류', '음식이 맛있는', '분위기 좋은', '추천하는']","주류, 음식이 맛있는, 분위기 좋은, 추천하는"
52,리브나 RIVNA ,"리브, 음식, 와인, 요리, 코스, 느낌, 다이닝, 메뉴, 항상, 기분","['주류', '분위기 좋은']","주류, 분위기 좋은"
53,리파인 건대점,"분위기, 음식, 서비스, 주류, 직원, 건대, 맛있어요, 식사, 전통주, 좋고","['서비스 좋은', '분위기 좋은', '친절한', '주류', '음식이 맛있는']","서비스 좋은, 분위기 좋은, 친절한, 주류, 음식이 맛있는"
54,리파인 성수점,"음식, 분위기, 맛있고, 좋았어요, 메뉴, 주류, 전통주, 데이트, 리파, 맛있어서","['주류', '음식이 맛있는', '분위기 좋은', '데이트/연인과 함께']","주류, 음식이 맛있는, 분위기 좋은, 데이트/연인과 함께"
55,리호,"와인, 메뉴, 분위기, 파스타, 음식, 좋은, 테라스, 추천, 데이트, 소스","['주류', '분위기 좋은', '추천하는', '데이트/연인과 함께']","주류, 분위기 좋은, 추천하는, 데이트/연인과 함께"
56,마마리와 뱅글,"와인, 음식, 메뉴, 분위기, 좋고, 좋아요, 파스타, 리스트, 마마, 뱅글","['주류', '분위기 좋은']","주류, 분위기 좋은"
57,마블상회,"고기, 소고기, 갈비살, 맛집, 라면, 성수동, 차돌, 마블, 서비스, 창살","['음식이 맛있는', '서비스 좋은']","음식이 맛있는, 서비스 좋은"
58,마우로아,"음식, 분위기, 좋은, 마우로, 메뉴, 스테이크, 와인, 맛있었어요, 맛집, 최고","['주류', '음식이 맛있는', '분위기 좋은', '추천하는']","주류, 음식이 맛있는, 분위기 좋은, 추천하는"
59,마테오견문록,"음식, 메뉴, 파스타, 코스, 서비스, 식사, 추천, 분위기, 좋은, 구이","['서비스 좋은', '분위기 좋은', '추천하는']","서비스 좋은, 분위기 좋은, 추천하는"
60,맏뜻,"음식, 코스, 메뉴, 가족, 구성, 부모님, 분위기, 한식, 생신, 생일","['특별한 날', '분위기 좋은']","특별한 날, 분위기 좋은"
61,매치스 성수,"와인, 음식, 분위기, 메뉴, 추천, 성수, 매치, 시간, 기분, 스팅","['주류', '분위기 좋은', '추천하는']","주류, 분위기 좋은, 추천하는"
62,매튜 Matthew,"음식, 좋은, 식사, 분위기, 매튜, 요리, 재료, 기분, 맛있었습니다, 메뉴","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
63,맷돌,"타코, 예약, 좋은, 메뉴, 분위기, 음식, 코스, 가격, 맛있는, 맛있어서","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
64,메종 파이프그라운드,"피자, 옥수수, 맛있어요, 맛있었어요, 음식, 테이블, 화이트, 예약, 파스타, 메뉴",['음식이 맛있는'],음식이 맛있는
65,메종성수돈,"고기, 토마토, 라면, 분위기, 서비스, 직원, 목살, 음식, 고깃집, 조합","['친절한', '서비스 좋은', '분위기 좋은']","친절한, 서비스 좋은, 분위기 좋은"
66,모르므로,"분위기, 음식, 좋고, 파스타, 화장실, 메뉴, 예약, 맛있고, 맛있어서, 맛있어요","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
67,모음(Moeum),"메뉴, 음식, 파스타, 고등어, 분위기, 최고, 가성, 간이, 데이트, 맛있게","['음식이 맛있는', '분위기 좋은', '추천하는', '데이트/연인과 함께']","음식이 맛있는, 분위기 좋은, 추천하는, 데이트/연인과 함께"
68,무로정 성수낙낙점,"음식, 기분, 예약, 와인, 마음, 분위기, 서비스, 좋았어요, 맛있고, 생일","['서비스 좋은', '특별한 날', '분위기 좋은', '주류', '음식이 맛있는']","서비스 좋은, 특별한 날, 분위기 좋은, 주류, 음식이 맛있는"
69,무색 MUSAEK,"메뉴, 서비스, 음식, 최고, 분위기, 맛있어요, 사시미, 숙성, 좋은, 기념일","['서비스 좋은', '추천하는', '특별한 날', '분위기 좋은', '음식이 맛있는']","서비스 좋은, 추천하는, 특별한 날, 분위기 좋은, 음식이 맛있는"
70,무식당 성수본점,"고기, 직원, 가격, 맛있게, 맛있었습니다, 분위기, 한우, 소스, 좋았어요, 좋은","['친절한', '음식이 맛있는', '분위기 좋은']","친절한, 음식이 맛있는, 분위기 좋은"
71,무애,"음식, 요리, 메뉴, 무애, 좋은, 와인, 분위기, 느낌, 일본, 경험","['주류', '분위기 좋은']","주류, 분위기 좋은"
72,문츠바베큐,"바베큐, 고기, 메뉴, 느낌, 버섯, 직원, 문츠, 식사, 좋았어요, 텍사스","['친절한', '분위기 좋은']","친절한, 분위기 좋은"
73,문화식당 성수점,"분위기, 음식, 좋은, 직원, 맛있어요, 서비스, 좋고, 맛있었어요, 친절하시고, 가족","['친절한', '서비스 좋은', '음식이 맛있는', '분위기 좋은']","친절한, 서비스 좋은, 음식이 맛있는, 분위기 좋은"
74,바위파스타바,"요리, 예약, 메뉴, 와인, 음식, 파스타, 바위, 식사, 서비스, 마음","['주류', '서비스 좋은']","주류, 서비스 좋은"
75,바탕,"음식, 분위기, 메뉴, 재료, 전통주, 좋은, 친구, 맛있어요, 맛있었어요, 요리","['주류', '음식이 맛있는', '분위기 좋은']","주류, 음식이 맛있는, 분위기 좋은"
76,반백수 㚘白水,"와인, 음식, 메뉴, 추천, 분위기, 좋은, 서비스, 한식, 국수, 맛있고","['서비스 좋은', '추천하는', '분위기 좋은', '주류', '음식이 맛있는']","서비스 좋은, 추천하는, 분위기 좋은, 주류, 음식이 맛있는"
77,버블리,"분위기, 샴페인, 와인, 추천, 파스타, 음식, 메뉴, 좋은, 소믈리에, 버블","['주류', '분위기 좋은', '추천하는']","주류, 분위기 좋은, 추천하는"
78,본앤브레드 신관,"고기, 음식, 서비스, 부위, 식사, 한우, 브레드, 쉐프, 최고, 가도","['서비스 좋은', '추천하는']","서비스 좋은, 추천하는"
79,부우이,"음식, 분위기, 맛있어요, 감자, 리조또, 맛있게, 문어, 스테이크, 식사, 루프","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
80,브네 VENEZ  Wine bar,"음식, 파스타, 와인, 삼치, 메뉴, 기념일, 맛있게, 맛있어요, 추천, 가지","['주류', '음식이 맛있는', '추천하는', '특별한 날']","주류, 음식이 맛있는, 추천하는, 특별한 날"
81,브리비트,"뇨끼, 리조또, 맛있어요, 메뉴, 음식, 맛있었어요, 버터, 분위기, 스테이크, 크림","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
82,브와르 boire,"와인, 메뉴, 음식, 추천, 분위기, 소라, 크림, 파스타, 맛집, 좋은","['주류', '음식이 맛있는', '분위기 좋은', '추천하는']","주류, 음식이 맛있는, 분위기 좋은, 추천하는"
83,사델스 서울 / Sadelle's at Kith Seoul,"테라스, 서비스, 분위기, 음식, 메뉴, 직원, 좋고, 사델스, 샐러드, 식사","['친절한', '서비스 좋은', '분위기 좋은']","친절한, 서비스 좋은, 분위기 좋은"
84,산도스 성수 (SANDOS),"산도, 소스, 카츠, 치아바타, 고기, 샌드위치, 음식, 감자, 세트, 인테리어",[],
85,살라댕템플,"음식, 분위기, 태국, 직원, 좋은, 팟타이, 기분, 예약, 주문, 국적","['친절한', '분위기 좋은']","친절한, 분위기 좋은"
86,샌드페블스,"음식, 메뉴, 분위기, 서비스, 공간, 맛있고, 와인, 좋았어요, 기분, 맛있게","['서비스 좋은', '주류', '음식이 맛있는', '분위기 좋은']","서비스 좋은, 주류, 음식이 맛있는, 분위기 좋은"
87,샤브인서울 성수점,"샤브샤브, 샤브, 분위기, 고기, 예약, 모시, 음식, 식사, 야채, 인테리어",['분위기 좋은'],분위기 좋은
88,서우 룸다이닝 성수점,"짜장면, 음식, 스테이크, 탕수육, 한우, 메뉴, 버터, 중식, 모임, 서비스","['특별한 날', '서비스 좋은']","특별한 날, 서비스 좋은"
89,서울낙업,"분위기, 하이, 연어, 음식, 좋았어요, 예약, 종류, 좋고, 맛있어요, 메뉴","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
90,서울로인 서울숲점,"서울숲, 좋고, 식사, 코스, 분위기, 음식, 좋은, 요리, 메뉴, 한우",['분위기 좋은'],분위기 좋은
91,선명,"사시미, 분위기, 메뉴, 음식, 튀김, 건대, 두부, 맛집, 선명, 숙성","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
92,성수 리타르단도,"분위기, 음식, 메뉴, 칵테일, 데이트, 파스타, 샐러드, 맛있었어요, 성수, 추천","['추천하는', '분위기 좋은', '주류', '음식이 맛있는', '데이트/연인과 함께']","추천하는, 분위기 좋은, 주류, 음식이 맛있는, 데이트/연인과 함께"
93,성수 수집,"메뉴, 음식, 맛있고, 사케, 구성, 맛있어요, 분위기, 기념일, 재료, 좋고","['특별한 날', '음식이 맛있는', '분위기 좋은']","특별한 날, 음식이 맛있는, 분위기 좋은"
94,성수 신데렐라,"칵테일, 분위기, 음식, 신데렐라, 좋고, 좋았어요, 친절하시고, 기념일, 느낌, 사진","['친절한', '주류', '특별한 날', '분위기 좋은']","친절한, 주류, 특별한 날, 분위기 좋은"
95,성수AGU,"아구찜, 곱창, 튀김, 분위기, 맛있었어요, 메뉴, 양념, 주먹밥, 직원, 느낌","['친절한', '음식이 맛있는', '분위기 좋은']","친절한, 음식이 맛있는, 분위기 좋은"
96,세디치(sedici),"뇨끼, 메뉴, 분위기, 음식, 파스타, 맛집, 맛있어요, 성수, 좋은, 타르","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
97,셰프뮤지엄 크레이지솔트,"음식, 분위기, 파스타, 서비스, 가격, 와인, 메뉴, 직원, 리조또, 맛있었어요","['서비스 좋은', '분위기 좋은', '친절한', '주류', '음식이 맛있는']","서비스 좋은, 분위기 좋은, 친절한, 주류, 음식이 맛있는"
98,소랑호젠,"메뉴, 음식, 분위기, 스테이크, 제주, 파스타, 느낌, 좋고, 돼지, 맛있어요","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
99,소설옥 금남시장점,"와인, 고기, 맛있고, 최고, 아이, 좋고, 기분, 맛집, 서비스, 시간","['주류', '음식이 맛있는', '서비스 좋은', '추천하는']","주류, 음식이 맛있는, 서비스 좋은, 추천하는"
100,소와나 성수,"서비스, 고기, 좋은, 와나, 부위, 분위기, 친절하게, 마카, 음식, 입문","['서비스 좋은', '분위기 좋은']","서비스 좋은, 분위기 좋은"
101,수랑화,"음식, 분위기, 직원, 가족, 좋아요, 모시, 테이블, 맛있어요, 미나리, 서비스","['친절한', '서비스 좋은', '음식이 맛있는', '분위기 좋은']","친절한, 서비스 좋은, 음식이 맛있는, 분위기 좋은"
102,쉐프의콜렉션,"메뉴, 분위기, 파스타, 사시미, 좋은, 고등어, 맛있게, 맛있어요, 숙성, 음식","['음식이 맛있는', '분위기 좋은']","음식이 맛있는, 분위기 좋은"
103,스시 히나타,"마카, 쉐프, 가격, 스시, 음식, 생일, 좋은, 퀄리티, 식사, 디너",['특별한 날'],특별한 날
104,스시&스낵바 논데 (성수점),"음식, 가격, 마카, 스시, 메뉴, 사케, 좋은, 분위기, 서비스, 안주","['서비스 좋은', '분위기 좋은']","서비스 좋은, 분위기 좋은"
